content_id,content_type,title,overview,release_date,rating,vote_count,popularity,language,language_name,country,poster_path,backdrop_path,genres,keywords,cast,director,runtime,combined_features
1451944,movie,Lust Stories 3,"Through four bite-sized yet emotionally resonant films, the anthology once again explores lust, love, relationships, and repressed desire, offering fresh perspectives on intimacy, longing, and human connection in all their complexity.",2026-09-18,6.5,6,49.5056,hi,Hindi,IN,/cLA83DD1qMEBwbRIYXf29RKjMja.jpg,/jRtR4aTq4vmxRg9ah60R5i1kkQ7.jpg,"Romance, Drama","anthology, lust, bollywood, trilogy","Radhika Apte, Konkona Sen Sharma, Vijay Varma, Abhishek Banerjee, Ali Fazal, Radhikka Madan, Aditi Rao Hydari, Siddharth",Vikramaditya Motwane,165.0,"Romance, Drama anthology, lust, bollywood, trilogy Radhika Apte, Konkona Sen Sharma, Vijay Varma, Abhishek Banerjee, Ali Fazal, Radhikka Madan, Aditi Rao Hydari, Siddharth Vikramaditya Motwane Hindi Through four bite-sized yet emotionally resonant films, the anthology once again explores lust, love, relationships, and repressed desire, offering fresh perspectives on intimacy, longing, and human connection in all their complexity."
1355228,movie,Gandhari,"When a mother loses her eyesight and her daughter in a kidnapping, she takes matters into her own hands to hunt down those responsible.",2026-09-03,7.068,22,25.6563,hi,Hindi,IN,/hCHei97aPYCCsh4vicz9X0wmdFV.jpg,/sT5WVT8LzvDwIbfy9BGXK0fvf3s.jpg,"Action, Drama, Thriller",,"Taapsee Pannu, Ishwak Singh, Mita Vashisht, Swastika Mukherjee, Chhaya Kadam, Jatin Sarna, Prashant Narayanan, Chandan Roy",Devashish Makhija,117.0,"Action, Drama, Thriller  Taapsee Pannu, Ishwak Singh, Mita Vashisht, Swastika Mukherjee, Chhaya Kadam, Jatin Sarna, Prashant Narayanan, Chandan Roy Devashish Makhija Hindi When a mother loses her eyesight and her daughter in a kidnapping, she takes matters into her own hands to hunt down those responsible."
1709391,movie,Hanuman Ansh,"A grieving boy seeks God to meet his departed mother, and in finding the divine, learns to serve humanity with miracles of love, food and silent blessings, becoming Hanuman Ansh, Neem Karoli Baba.",2026-08-07,8.0,11,22.5567,hi,Hindi,IN,/as2Y3zGUa2IUS3uAx2sh6Ano3es.jpg,/tKYOK8iMxkhJhug3LJ2yvC5QY8M.jpg,"Family, Drama",,"Chandan Anand, Shobhinaw Satyaa, Purnima Tiwari, Vihaan Shedge, Anil Rastogi, Gulshan Pandey, Bhagwan Das Patel, Rajiv Mishra",Vishal Chaturvedi,150.0,"Family, Drama  Chandan Anand, Shobhinaw Satyaa, Purnima Tiwari, Vihaan Shedge, Anil Rastogi, Gulshan Pandey, Bhagwan Das Patel, Rajiv Mishra Vishal Chaturvedi Hindi A grieving boy seeks God to meet his departed mother, and in finding the divine, learns to serve humanity with miracles of love, food and silent blessings, becoming Hanuman Ansh, Neem Karoli Baba."
19404,movie,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,8.504,4624,14.0111,hi,Hindi,IN,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,/84beTJf26mfhoasUlKSOiNSutyS.jpg,"Comedy, Drama, Romance","family's daily life, family history, love-hate relationship, family drama, love affair, lighthearted","Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher, Pooja Ruparel, Parmeet Sethi, Satish Shah",Aditya Chopra,190.0,"Comedy, Drama, Romance family's daily life, family history, love-hate relationship, family drama, love affair, lighthearted Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher, Pooja Ruparel, Parmeet Sethi, Satish Shah Aditya Chopra Hindi Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
20453,movie,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009-12-23,8.012,2837,14.0676,hi,Hindi,IN,/66A9MqXOyVFCssoloscw79z8Tew.jpg,/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg,"Drama, Comedy","challenge, middle class, slapstick comedy, coming of age, flashback, teacher, friends, engineering, university, subjective camera, smart kid, poor kid, looking for friend, plot twist, inspirational, student, life advice, hilarious, amused, delhi","Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor Khan, Boman Irani, Omi Vaidya, Mona Singh, Rahul Kumar",Rajkumar Hirani,171.0,"Drama, Comedy challenge, middle class, slapstick comedy, coming of age, flashback, teacher, friends, engineering, university, subjective camera, smart kid, poor kid, looking for friend, plot twist, inspirational, student, life advice, hilarious, amused, delhi Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor Khan, Boman Irani, Omi Vaidya, Mona Singh, Rahul Kumar Rajkumar Hirani Hindi Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all."
1122030,movie,Alpha,"When Sita, a highly trained assassin raised in isolation as a super-soldier by a rogue commander, discovers the dark truth about her family and her stolen childhood, she teams up with her long lost sister to take down her creator and his illicit military program.",2026-07-02,5.1,27,11.7264,hi,Hindi,IN,/bPtRt3ajQ0EkyeQ1O6iJwAIi9Py.jpg,/b4WXm5ahmtubYXy3wqHUG2nUKoM.jpg,"Action, Thriller","female spy, raw agent","Alia Bhatt, Sharvari, Bobby Deol, Anil Kapoor, Dibyendu Bhattacharya, Dia Mirza, Hrithik Roshan, Shubhi Mehta",Shiv Rawail,141.0,"Action, Thriller female spy, raw agent Alia Bhatt, Sharvari, Bobby Deol, Anil Kapoor, Dibyendu Bhattacharya, Dia Mirza, Hrithik Roshan, Shubhi Mehta Shiv Rawail Hindi When Sita, a highly trained assassin raised in isolation as a super-soldier by a rogue commander, discovers the dark truth about her family and her stolen childhood, she teams up with her long lost sister to take down her creator and his illicit military program."
1378537,movie,Mirzapur: The Movie,"The battle for Mirzapur’s throne intensifies as old enemies resurface and a new threat emerges in the form of Babban Babua, a ruthless businessman from Jaisalmer with ambitions of his own. As the Tripathis face enemies from both the past and present, loyalties are tested while Guddu and Bablu Pandit fight to establish themselves in the power struggle for Mirzapur.",2026-09-03,6.9,18,11.4799,hi,Hindi,IN,/cdDKdCRyq6BYuNblpKUYqRPWvEg.jpg,/nTkQBI8ldvPByIkxsemGxtKlr8E.jpg,"Action, Crime, Drama, Thriller",,"Pankaj Tripathi, Ali Fazal, Divyendu Sharma, Jitendra Kumar, Ravi Kishan, Rasika Dugal, Mohit Malik, Sheeba Chaddha",Gurmmeet Singh,197.0,"Action, Crime, Drama, Thriller  Pankaj Tripathi, Ali Fazal, Divyendu Sharma, Jitendra Kumar, Ravi Kishan, Rasika Dugal, Mohit Malik, Sheeba Chaddha Gurmmeet Singh Hindi The battle for Mirzapur’s throne intensifies as old enemies resurface and a new threat emerges in the form of Babban Babua, a ruthless businessman from Jaisalmer with ambitions of his own. As the Tripathis face enemies from both the past and present, loyalties are tested while Guddu and Bablu Pandit fight to establish themselves in the power struggle for Mirzapur."
1303331,movie,Dhamaal 4,"The Dhamaal boys are back for another treasure hunt, facing hilarious challenges in their quest for the Treasure of Life.",2026-07-10,4.3,13,10.3221,hi,Hindi,IN,/pkY8xl3GijJ38KA3vTiPhZPRDvE.jpg,/95sjD0dRajtU6SKD6Gq6PtrGoGY.jpg,Comedy,"treasure hunt, slapstick comedy, quest, comedic misadventures, comedy sequel","Ajay Devgn, Arshad Warsi, Riteish Deshmukh, Javed Jaffrey, Sanjay Mishra, Ravi Kishan, Upendra Limaye, Anjali Anand",Indra Kumar,143.0,"Comedy treasure hunt, slapstick comedy, quest, comedic misadventures, comedy sequel Ajay Devgn, Arshad Warsi, Riteish Deshmukh, Javed Jaffrey, Sanjay Mishra, Ravi Kishan, Upendra Limaye, Anjali Anand Indra Kumar Hindi The Dhamaal boys are back for another treasure hunt, facing hilarious challenges in their quest for the Treasure of Life."
161226,movie,Biwi No.1,"Two adorable kids, a quirky mother-in-law and a happy-go-lucky friend help a heartbroken wife bring a straying husband back from the other woman's tangled embrace.",1999-05-28,5.836,76,6.1179,hi,Hindi,IN,/4c787y8j6XCuJHDv13Yuwu0FHmw.jpg,/jY9fTpIRIOi8DXs9sDHQpllWx3r.jpg,"Comedy, Drama, Romance","infidelity, plan, husband wife relationship, plan gone wrong, india, photo model","Salman Khan, Anil Kapoor, Karisma Kapoor, Sushmita Sen, Tabu, Himani Shivpuri, Saif Ali Khan, Amitabh Bachchan",David Dhawan,140.0,"Comedy, Drama, Romance infidelity, plan, husband wife relationship, plan gone wrong, india, photo model Salman Khan, Anil Kapoor, Karisma Kapoor, Sushmita Sen, Tabu, Himani Shivpuri, Saif Ali Khan, Amitabh Bachchan David Dhawan Hindi Two adorable kids, a quirky mother-in-law and a happy-go-lucky friend help a heartbroken wife bring a straying husband back from the other woman's tangled embrace."
1136736,movie,Lust Stories 2,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated 'Lust Stories'.",2023-06-29,5.6,62,10.0746,hi,Hindi,IN,/p5x729JI6wZs9hCqX7tc7oH87ih.jpg,/gzwTW6USyUchsDKXIKGQIGjqCQL.jpg,"Romance, Drama","anthology, love, lust","Neena Gupta, Mrunal Thakur, Tamannaah Bhatia, Kajol, Angad Bedi, Hemant Kher, Tillotama Shome, Amruta Subhash",Konkona Sen Sharma,132.0,"Romance, Drama anthology, love, lust Neena Gupta, Mrunal Thakur, Tamannaah Bhatia, Kajol, Angad Bedi, Hemant Kher, Tillotama Shome, Amruta Subhash Konkona Sen Sharma Hindi Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated 'Lust Stories'."
